00:07-kor, várakozási ideje: 45 mp, utazási ideje: 30 mp, 9.szintrõl a 4.szintre
17:00-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 5.szintrõl a 6.szintre
17:09-kor, várakozási ideje: 25 mp, utazási ideje: 45 mp, 11.szintrõl a 3.szintre
17:37-kor, várakozási ideje: 45 mp, utazási ideje: 25 mp, 12.szintrõl a 8.szintre
17:38-kor, várakozási ideje: 45 mp, utazási ideje: 60 mp, 11.szintrõl a 0.szintre
17:41-kor, várakozási ideje: 0 mp, utazási ideje: 65 mp, 0.szintrõl a 12.szintre
17:44-kor, várakozási ideje: 25 mp, utazási ideje: 35 mp, 3.szintrõl a 9.szintre
17:47-kor, várakozási ideje: 5 mp, utazási ideje: 20 mp, 10.szintrõl a 7.szintre
18:30-kor, várakozási ideje: 35 mp, utazási ideje: 20 mp, 0.szintrõl a 3.szintre
18:33-kor, várakozási ideje: 20 mp, utazási ideje: 15 mp, 8.szintrõl a 6.szintre
18:47-kor, várakozási ideje: 0 mp, utazási ideje: 35 mp, 3.szintrõl a 9.szintre
18:51-kor, várakozási ideje: 15 mp, utazási ideje: 15 mp, 3.szintrõl a 5.szintre
19:01-kor, várakozási ideje: 5 mp, utazási ideje: 40 mp, 10.szintrõl a 3.szintre
19:57-kor, várakozási ideje: 5 mp, utazási ideje: 50 mp, 2.szintrõl a 11.szintre
20:02-kor, várakozási ideje: 5 mp, utazási ideje: 35 mp, 4.szintrõl a 10.szintre
20:15-kor, várakozási ideje: 0 mp, utazási ideje: 25 mp, 11.szintrõl a 7.szintre
20:20-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 12.szintrõl a 6.szintre
21:16-kor, várakozási ideje: 25 mp, utazási ideje: 60 mp, 1.szintrõl a 12.szintre
21:35-kor, várakozási ideje: 30 mp, utazási ideje: 50 mp, 1.szintrõl a 10.szintre
21:58-kor, várakozási ideje: 35 mp, utazási ideje: 25 mp, 3.szintrõl a 7.szintre
22:10-kor, várakozási ideje: 20 mp, utazási ideje: 20 mp, 3.szintrõl a 6.szintre
22:38-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 7.szintrõl a 3.szintre
22:42-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 8.szintrõl a 2.szintre
22:47-kor, várakozási ideje: 35 mp, utazási ideje: 10 mp, 10.szintrõl a 9.szintre
22:51-kor, várakozási ideje: 5 mp, utazási ideje: 20 mp, 3.szintrõl a 0.szintre
23:15-kor, várakozási ideje: 20 mp, utazási ideje: 20 mp, 5.szintrõl a 8.szintre
23:19-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 5.szintrõl a 8.szintre
23:27-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 3.szintrõl a 12.szintre
A 0. indexû lift 53 db utast vett fel
A 1. indexû lift 48 db utast vett fel
Az átlag várakozási idõ 17.82 mp, maximum várakozas 55 mp, az átlag utazási idõ 31.24 mp, maximum utazás 70 mp
